"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2024","2,028.33","2,029.71","2,031.59","2,022.97","","-0.34%"
"02/20/2024","2,035.33","2,024.14","2,036.18","2,021.00","","0.44%"
"02/19/2024","2,026.51","2,022.35","2,027.12","2,020.38","","0.15%"
"02/16/2024","2,023.57","2,017.49","2,027.31","2,014.18","","0.72%"
"02/15/2024","2,009.20","1,998.24","2,012.67","1,996.79","","1.06%"
"02/14/2024","1,988.15","1,976.62","1,990.86","1,975.63","","0.51%"
"02/13/2024","1,978.03","2,001.98","2,003.87","1,970.81","","-1.38%"
"02/12/2024","2,005.62","2,006.57","2,009.00","1,997.85","","0.33%"
"02/09/2024","1,999.04","2,002.42","2,005.72","1,993.45","","0.13%"
"02/08/2024","1,996.52","2,004.15","2,008.56","1,996.43","","-0.07%"
"02/07/2024","1,997.98","2,008.06","2,008.23","1,997.04","","-0.12%"
"02/06/2024","2,000.40","2,002.28","2,003.47","1,985.22","","0.79%"
"02/05/2024","1,984.69","1,997.86","2,001.08","1,981.14","","-0.72%"
"02/02/2024","1,999.06","2,023.10","2,028.16","1,994.46","","-0.22%"
"02/01/2024","2,003.50","2,002.90","2,012.61","1,991.98","","-0.67%"
"01/31/2024","2,016.94","2,014.56","2,028.20","2,004.15","","0.22%"
"01/30/2024","2,012.44","2,012.30","2,016.59","2,008.04","","0.52%"
"01/29/2024","2,002.10","2,006.89","2,009.23","1,999.69","","-0.36%"
"01/26/2024","2,009.32","1,983.28","2,015.46","1,983.23","","1.43%"
"01/25/2024","1,980.96","1,984.21","1,987.89","1,976.29","","-0.35%"
"01/24/2024","1,987.86","1,968.62","1,993.75","1,968.62","","1.81%"
"01/23/2024","1,952.53","1,977.36","1,977.36","1,950.93","","-0.76%"
"01/22/2024","1,967.48","1,965.14","1,971.79","1,959.36","","0.78%"
"01/19/2024","1,952.29","1,963.93","1,966.62","1,946.91","","0.04%"
"01/18/2024","1,951.42","1,947.48","1,958.72","1,944.09","","0.59%"
"01/17/2024","1,939.94","1,948.86","1,948.86","1,929.07","","-1.35%"
"01/16/2024","1,966.52","1,967.19","1,969.60","1,958.09","","-0.87%"
"01/15/2024","1,983.77","1,996.32","1,999.98","1,980.11","","-0.67%"
"01/12/2024","1,997.08","1,989.83","2,006.06","1,984.64","","1.00%"
"01/11/2024","1,977.25","2,006.37","2,012.38","1,975.89","","-0.94%"
"01/10/2024","1,996.09","1,990.63","1,998.30","1,988.02","","0.28%"
"01/09/2024","1,990.54","2,003.68","2,003.86","1,987.23","","-0.67%"
"01/08/2024","2,003.89","1,988.22","2,005.27","1,974.42","","0.28%"
"01/05/2024","1,998.31","1,984.65","2,004.31","1,963.96","","-0.05%"
"01/04/2024","1,999.34","1,987.40","2,001.14","1,982.11","","1.16%"
"01/03/2024","1,976.33","2,001.74","2,007.28","1,970.50","","-1.17%"
"01/02/2024","1,999.71","2,020.83","2,030.85","1,992.86","","-1.02%"
"01/01/2024","2,020.40","2,020.40","2,020.40","2,020.40","","0.00%"
"12/29/2023","2,020.40","2,021.95","2,028.87","2,018.76","","-0.30%"
"12/28/2023","2,026.46","2,036.73","2,037.67","2,016.25","","-0.09%"
"12/27/2023","2,028.27","2,014.05","2,032.09","2,012.77","","0.98%"
"12/26/2023","2,008.57","2,008.49","2,012.57","2,008.18","","0.05%"
"12/25/2023","2,007.56","2,007.56","2,007.56","2,007.56","","0.00%"
"12/22/2023","2,007.56","2,001.74","2,014.00","2,000.47","","0.35%"
"12/21/2023","2,000.53","1,992.33","2,003.73","1,985.82","","-0.06%"
"12/20/2023","2,001.70","1,999.08","2,007.17","1,990.71","","0.05%"
"12/19/2023","2,000.74","1,984.29","2,000.86","1,984.29","","1.00%"
"12/18/2023","1,980.84","1,983.44","1,988.62","1,978.10","","-0.27%"
"12/15/2023","1,986.25","2,001.14","2,005.81","1,981.10","","-0.69%"
"12/14/2023","2,000.15","1,973.76","2,003.56","1,973.76","","2.61%"
"12/13/2023","1,949.32","1,947.57","1,967.16","1,946.18","","0.09%"
"12/12/2023","1,947.64","1,948.35","1,960.05","1,942.53","","0.16%"
"12/11/2023","1,944.62","1,941.38","1,948.49","1,938.06","","0.07%"
"12/08/2023","1,943.24","1,931.40","1,948.13","1,926.54","","0.60%"
"12/07/2023","1,931.65","1,935.44","1,937.40","1,924.51","","-0.32%"
"12/06/2023","1,937.90","1,929.26","1,944.22","1,928.82","","0.36%"
"12/05/2023","1,930.91","1,923.67","1,933.52","1,921.31","","0.27%"
"12/04/2023","1,925.75","1,931.07","1,939.53","1,923.29","","-0.24%"
"12/01/2023","1,930.40","1,921.49","1,941.25","1,920.96","","0.26%"
"11/30/2023","1,925.41","1,923.36","1,931.61","1,913.07","","0.02%"
"11/29/2023","1,925.00","1,918.31","1,931.36","1,917.58","","0.39%"
"11/28/2023","1,917.56","1,910.48","1,922.63","1,903.85","","0.12%"
"11/27/2023","1,915.27","1,922.83","1,925.11","1,914.68","","-0.42%"
"11/24/2023","1,923.32","1,910.83","1,924.14","1,910.15","","0.59%"
"11/23/2023","1,911.95","1,909.52","1,912.46","1,907.06","","0.68%"
"11/22/2023","1,899.04","1,905.30","1,909.61","1,895.29","","-0.32%"
"11/21/2023","1,905.13","1,908.30","1,911.79","1,899.92","","-0.10%"
"11/20/2023","1,906.99","1,901.00","1,909.16","1,899.65","","0.55%"
"11/17/2023","1,896.49","1,875.11","1,900.03","1,875.11","","1.08%"
"11/16/2023","1,876.22","1,878.44","1,884.25","1,871.00","","-0.56%"
"11/15/2023","1,886.72","1,884.86","1,894.78","1,879.23","","0.69%"
"11/14/2023","1,873.83","1,831.90","1,882.27","1,827.28","","2.59%"
"11/13/2023","1,826.49","1,822.29","1,829.33","1,814.74","","0.94%"
"11/10/2023","1,809.55","1,819.82","1,820.83","1,800.82","","-1.41%"
"11/09/2023","1,835.37","1,819.52","1,837.09","1,813.74","","0.87%"
"11/08/2023","1,819.58","1,805.91","1,825.09","1,802.52","","0.47%"
"11/07/2023","1,811.15","1,810.54","1,818.62","1,804.93","","-0.70%"
"11/06/2023","1,823.96","1,828.26","1,830.51","1,818.65","","-0.02%"
"11/03/2023","1,824.41","1,810.51","1,828.69","1,806.70","","1.19%"
"11/02/2023","1,803.02","1,783.73","1,812.25","1,783.33","","2.32%"
"11/01/2023","1,762.19","1,760.50","1,772.21","1,750.03","","0.38%"
"10/31/2023","1,755.54","1,755.60","1,774.62","1,752.10","","0.08%"
"10/30/2023","1,754.22","1,743.89","1,758.89","1,743.89","","0.73%"
"10/27/2023","1,741.58","1,753.23","1,758.81","1,737.06","","-0.55%"
"10/26/2023","1,751.16","1,749.39","1,759.05","1,739.12","","-0.92%"
"10/25/2023","1,767.42","1,764.40","1,769.94","1,752.43","","-0.02%"
"10/24/2023","1,767.85","1,775.56","1,778.52","1,761.01","","0.17%"
"10/23/2023","1,764.91","1,759.76","1,772.14","1,745.23","","0.26%"
"10/20/2023","1,760.36","1,773.42","1,777.13","1,758.75","","-1.17%"
"10/19/2023","1,781.15","1,790.71","1,790.71","1,776.69","","-0.90%"
"10/18/2023","1,797.38","1,820.47","1,825.08","1,795.12","","-1.39%"
"10/17/2023","1,822.73","1,814.74","1,825.94","1,806.41","","0.16%"
"10/16/2023","1,819.87","1,818.66","1,825.21","1,804.69","","0.62%"
"10/13/2023","1,808.71","1,830.02","1,833.66","1,806.94","","-1.42%"
"10/12/2023","1,834.68","1,853.92","1,860.49","1,829.22","","-0.52%"
"10/11/2023","1,844.24","1,839.13","1,849.90","1,832.80","","0.41%"
"10/10/2023","1,836.68","1,807.79","1,840.92","1,807.79","","2.44%"
"10/09/2023","1,792.97","1,793.59","1,801.70","1,784.23","","-0.17%"
"10/06/2023","1,795.97","1,785.96","1,806.93","1,769.94","","0.88%"
"10/05/2023","1,780.29","1,776.49","1,787.90","1,770.73","","0.63%"
"10/04/2023","1,769.17","1,758.10","1,788.83","1,754.68","","0.03%"
"10/03/2023","1,768.71","1,782.82","1,793.89","1,765.36","","-1.26%"
"10/02/2023","1,791.23","1,830.21","1,833.38","1,784.80","","-1.85%"
"09/29/2023","1,824.94","1,826.60","1,844.32","1,821.23","","0.58%"
"09/28/2023","1,814.45","1,797.25","1,817.40","1,790.16","","0.86%"
"09/27/2023","1,799.00","1,811.02","1,818.92","1,794.77","","-0.86%"
"09/26/2023","1,814.64","1,819.37","1,823.48","1,809.52","","-0.54%"
"09/25/2023","1,824.53","1,843.42","1,848.67","1,817.04","","-1.37%"
"09/22/2023","1,849.81","1,850.88","1,857.03","1,841.98","","-0.32%"
"09/21/2023","1,855.84","1,875.73","1,875.73","1,850.20","","-1.84%"
"09/20/2023","1,890.67","1,868.26","1,894.95","1,868.26","","1.15%"
"09/19/2023","1,869.23","1,865.69","1,876.72","1,863.20","","0.08%"
"09/18/2023","1,867.65","1,881.93","1,882.76","1,863.55","","-0.98%"
"09/15/2023","1,886.14","1,882.62","1,899.73","1,882.62","","0.25%"
"09/14/2023","1,881.43","1,866.59","1,884.31","1,863.21","","0.85%"
"09/13/2023","1,865.65","1,865.31","1,869.68","1,852.85","","-0.10%"
"09/12/2023","1,867.54","1,877.41","1,879.09","1,865.62","","-0.47%"
"09/11/2023","1,876.43","1,873.01","1,884.28","1,867.76","","0.63%"
"09/08/2023","1,864.72","1,864.41","1,868.46","1,845.71","","0.30%"
"09/07/2023","1,859.17","1,859.77","1,867.89","1,852.73","","-0.11%"
"09/06/2023","1,861.28","1,871.80","1,871.80","1,859.37","","-0.56%"
"09/05/2023","1,871.69","1,880.05","1,885.21","1,867.25","","-0.94%"
"09/04/2023","1,889.42","1,897.15","1,908.43","1,887.94","","-0.22%"
"09/01/2023","1,893.62","1,902.36","1,914.15","1,887.99","","-0.43%"
"08/31/2023","1,901.81","1,916.27","1,919.89","1,899.44","","-0.92%"
"08/30/2023","1,919.50","1,913.75","1,927.43","1,906.54","","0.74%"
"08/29/2023","1,905.42","1,888.32","1,916.20","1,888.32","","1.19%"
"08/28/2023","1,882.94","1,873.60","1,886.14","1,873.60","","1.19%"
"08/25/2023","1,860.77","1,862.08","1,881.17","1,857.73","","-0.67%"
"08/24/2023","1,873.39","1,888.46","1,903.22","1,867.12","","-0.47%"
"08/23/2023","1,882.20","1,879.25","1,891.01","1,870.05","","0.36%"
"08/22/2023","1,875.38","1,877.59","1,893.96","1,873.46","","0.34%"
"08/21/2023","1,869.04","1,864.99","1,887.20","1,864.99","","0.21%"
"08/18/2023","1,865.11","1,874.07","1,874.07","1,849.24","","-0.73%"
"08/17/2023","1,878.82","1,893.39","1,895.21","1,873.62","","-1.00%"
"08/16/2023","1,897.71","1,899.59","1,907.85","1,891.79","","-0.34%"
"08/15/2023","1,904.26","1,921.37","1,921.37","1,897.05","","-0.64%"
"08/14/2023","1,916.45","1,918.88","1,927.45","1,903.39","","-0.47%"
"08/11/2023","1,925.54","1,948.05","1,948.05","1,919.46","","-1.51%"
"08/10/2023","1,955.03","1,935.13","1,964.46","1,935.13","","1.11%"
"08/09/2023","1,933.53","1,924.15","1,945.35","1,924.15","","0.78%"
"08/08/2023","1,918.62","1,922.75","1,927.83","1,906.67","","-0.70%"
"08/07/2023","1,932.18","1,922.29","1,934.16","1,913.69","","-0.08%"
"08/04/2023","1,933.74","1,917.91","1,937.21","1,905.11","","1.09%"
"08/03/2023","1,912.87","1,914.15","1,917.95","1,901.02","","-0.61%"
"08/02/2023","1,924.60","1,945.09","1,945.30","1,921.32","","-1.81%"
"08/01/2023","1,960.03","1,977.07","1,977.07","1,956.93","","-1.30%"
