"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2023","458.47","457.58","458.73","457.10","121.88M","0.27%"
"11/22/2023","457.24","456.10","458.31","456.10","141.43M","0.30%"
"11/21/2023","455.85","456.18","456.66","455.08","144.53M","-0.09%"
"11/20/2023","456.26","455.68","456.59","455.01","137.18M","0.10%"
"11/17/2023","455.82","452.04","456.63","452.04","192.58M","1.01%"
"11/16/2023","451.27","453.65","454.43","451.27","182.83M","-0.72%"
"11/15/2023","454.52","453.08","456.53","453.08","189.79M","0.42%"
"11/14/2023","452.60","446.96","453.36","446.38","218.54M","1.34%"
"11/13/2023","446.62","444.84","447.07","444.68","163.55M","0.75%"
"11/10/2023","443.31","446.64","446.64","441.13","171.42M","-1.00%"
"11/09/2023","447.80","443.87","448.16","442.83","170.98M","0.84%"
"11/08/2023","444.07","442.06","446.22","441.02","172.23M","0.28%"
"11/07/2023","442.81","442.57","444.00","441.88","147.01M","-0.16%"
"11/06/2023","443.52","444.80","445.61","442.96","200.48M","-0.16%"
"11/03/2023","444.24","443.95","445.89","443.53","180.97M","0.17%"
"11/02/2023","443.47","437.95","444.96","437.95","213.50M","1.58%"
"11/01/2023","436.57","434.71","437.84","433.33","169.28M","0.67%"
"10/31/2023","433.66","431.32","434.54","431.32","187.00M","0.59%"
"10/30/2023","431.12","430.39","433.23","430.39","193.35M","0.36%"
"10/27/2023","429.58","432.72","434.33","428.84","158.14M","-0.84%"
"10/26/2023","433.20","434.34","434.61","430.19","197.60M","-0.48%"
"10/25/2023","435.27","434.91","435.96","432.20","188.49M","0.04%"
"10/24/2023","435.09","433.43","435.88","431.51","164.04M","0.44%"
"10/23/2023","433.18","433.77","434.54","429.66","150.10M","-0.13%"
"10/20/2023","433.73","438.73","438.73","433.73","209.01M","-1.36%"
"10/19/2023","439.73","444.27","444.27","439.35","179.91M","-1.19%"
"10/18/2023","445.02","449.58","449.87","444.60","168.88M","-1.05%"
"10/17/2023","449.76","450.00","451.73","446.91","178.76M","-0.10%"
"10/16/2023","450.20","449.53","451.44","447.40","198.90M","0.23%"
"10/13/2023","449.18","453.32","453.41","448.95","169.20M","-0.98%"
"10/12/2023","453.63","453.70","457.02","453.53","164.00M","0.10%"
"10/11/2023","453.16","452.84","454.55","451.17","158.60M","0.15%"
"10/10/2023","452.48","444.59","452.74","444.59","177.48M","1.96%"
"10/09/2023","443.79","444.84","446.02","442.15","169.57M","-0.26%"
"10/06/2023","444.93","442.12","444.95","440.46","185.96M","0.82%"
"10/05/2023","441.31","440.82","443.47","439.87","155.94M","0.28%"
"10/04/2023","440.08","439.72","443.45","438.08","213.75M","-0.14%"
"10/03/2023","440.70","444.89","446.36","440.40","154.06M","-1.10%"
"10/02/2023","445.59","450.82","452.51","444.11","155.84M","-1.03%"
"09/29/2023","450.22","449.76","454.03","449.76","171.04M","0.38%"
"09/28/2023","448.50","447.01","448.54","444.38","168.41M","0.36%"
"09/27/2023","446.91","447.61","449.52","446.14","160.08M","-0.18%"
"09/26/2023","447.70","449.94","449.94","446.49","149.10M","-0.61%"
"09/25/2023","450.44","452.72","453.86","447.90","150.82M","-0.62%"
"09/22/2023","453.26","454.02","454.73","451.54","199.96M","-0.31%"
"09/21/2023","454.67","459.96","459.96","454.48","200.04M","-1.30%"
"09/20/2023","460.66","456.36","461.54","456.36","195.63M","0.91%"
"09/19/2023","456.52","456.43","457.98","455.41","152.77M","-0.04%"
"09/18/2023","456.72","461.44","461.44","455.96","132.67M","-1.13%"
"09/15/2023","461.93","461.65","465.32","461.63","408.77M","0.23%"
"09/14/2023","460.86","454.05","461.35","453.43","200.87M","1.52%"
"09/13/2023","453.94","454.46","454.71","451.10","159.52M","-0.32%"
"09/12/2023","455.40","456.59","457.43","454.88","155.71M","-0.18%"
"09/11/2023","456.21","454.97","458.81","454.97","141.46M","0.34%"
"09/08/2023","454.66","454.17","455.44","450.61","148.42M","0.22%"
"09/07/2023","453.67","453.88","455.44","452.05","137.25M","-0.14%"
"09/06/2023","454.30","456.36","456.36","453.01","147.51M","-0.57%"
"09/05/2023","456.90","457.44","458.68","454.12","129.66M","-0.23%"
"09/04/2023","457.96","458.79","462.18","457.59","123.79M","-0.04%"
"09/01/2023","458.13","458.31","460.50","457.71","159.67M","-0.01%"
"08/31/2023","458.19","459.00","461.31","458.19","270.10M","-0.20%"
"08/30/2023","459.13","459.78","461.27","457.76","139.21M","-0.15%"
"08/29/2023","459.83","456.17","460.13","456.17","217.52M","0.97%"
"08/28/2023","455.41","452.07","455.85","452.07","66.61M","0.89%"
"08/25/2023","451.39","451.19","454.56","450.61","98.30M","-0.04%"
"08/24/2023","451.57","454.13","458.02","451.38","108.04M","-0.41%"
"08/23/2023","453.45","451.98","455.09","451.98","158.39M","0.39%"
"08/22/2023","451.70","449.21","454.12","449.21","141.27M","0.68%"
"08/21/2023","448.66","448.54","452.38","448.42","118.46M","0.05%"
"08/18/2023","448.44","450.49","450.49","445.50","135.28M","-0.61%"
"08/17/2023","451.19","454.89","454.89","451.03","124.62M","-0.90%"
"08/16/2023","455.29","455.35","456.70","453.98","138.76M","-0.06%"
"08/15/2023","455.57","460.21","460.32","454.21","118.53M","-0.93%"
"08/14/2023","459.86","459.04","460.51","457.82","192.56M","0.15%"
"08/11/2023","459.17","463.52","463.52","458.00","148.88M","-1.09%"
"08/10/2023","464.23","460.19","465.76","460.19","178.85M","0.79%"
"08/09/2023","460.58","459.15","463.38","459.15","215.74M","0.43%"
"08/08/2023","458.60","459.21","459.71","455.94","218.82M","-0.23%"
"08/07/2023","459.68","459.25","460.01","456.67","116.66M","0.09%"
"08/04/2023","459.28","458.01","459.70","455.66","145.17M","0.29%"
"08/03/2023","457.93","460.34","460.34","455.60","235.75M","-0.63%"
"08/02/2023","460.84","466.19","466.19","458.91","182.77M","-1.35%"
"08/01/2023","467.16","470.95","471.19","467.07","152.82M","-0.89%"
