"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2019","3,776.41","3,746.25","3,799.50","3,746.25","24.48M","0.41%"
"10/16/2019","3,761.02","3,759.48","3,767.90","3,736.16","29.06M","0.10%"
"10/15/2019","3,757.24","3,730.26","3,764.52","3,713.51","26.68M","1.18%"
"10/14/2019","3,713.56","3,714.10","3,714.10","3,676.70","19.59M","-0.39%"
"10/11/2019","3,727.92","3,668.61","3,728.00","3,665.26","34.06M","1.92%"
"10/10/2019","3,657.77","3,608.33","3,660.22","3,594.79","28.20M","1.39%"
"10/09/2019","3,607.55","3,592.68","3,625.54","3,584.39","18.15M","0.43%"
"10/08/2019","3,592.12","3,623.53","3,629.70","3,582.86","19.76M","-1.01%"
"10/07/2019","3,628.92","3,611.89","3,633.42","3,602.97","17.06M","0.51%"
"10/04/2019","3,610.64","3,585.69","3,610.64","3,577.12","19.73M","1.00%"
"10/03/2019","3,574.76","3,563.41","3,585.76","3,544.46","22.45M","0.24%"
