"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2020","7,108.40","7,147.90","7,215.10","7,103.20","189.75M","-0.01%"
"08/24/2020","7,109.10","7,044.20","7,120.80","7,037.30","147.79M","1.82%"
"08/21/2020","6,982.10","7,016.70","7,025.90","6,900.50","171.12M","-0.16%"
"08/20/2020","6,993.30","7,011.40","7,034.50","6,974.90","155.67M","-1.42%"
"08/19/2020","7,094.30","7,039.10","7,094.30","7,002.80","132.23M","0.72%"
"08/18/2020","7,043.50","7,065.70","7,165.60","7,024.40","142.78M","-0.66%"
"08/17/2020","7,090.10","7,141.50","7,173.30","7,064.10","131.24M","-0.90%"
"08/14/2020","7,154.30","7,224.10","7,227.60","7,064.00","175.80M","-1.33%"
"08/13/2020","7,250.50","7,267.90","7,321.90","7,240.80","159.77M","-0.62%"
"08/12/2020","7,296.00","7,250.30","7,317.90","7,225.70","219.85M","0.45%"
"08/11/2020","7,263.50","7,104.00","7,290.10","7,104.00","271.63M","2.97%"
"08/10/2020","7,053.90","7,004.40","7,053.90","6,957.00","208.03M","1.49%"
"08/07/2020","6,950.50","6,929.10","6,961.80","6,876.70","184.15M","-0.11%"
"08/06/2020","6,957.90","7,022.10","7,046.10","6,917.00","205.85M","-1.16%"
"08/05/2020","7,039.70","7,073.20","7,123.50","7,027.70","208.80M","0.26%"
"08/04/2020","7,021.60","7,003.00","7,064.80","6,955.40","225.24M","0.67%"
"08/03/2020","6,975.00","6,867.40","6,983.30","6,788.90","282.34M","1.42%"
"07/31/2020","6,877.40","7,025.20","7,049.50","6,877.40","312.30M","-1.70%"
"07/30/2020","6,996.60","7,192.30","7,192.70","6,924.70","324.38M","-2.91%"
"07/29/2020","7,206.20","7,247.60","7,260.20","7,171.30","210.36M","-0.55%"
"07/28/2020","7,246.40","7,191.90","7,257.30","7,170.60","162.30M","1.06%"
"07/27/2020","7,170.60","7,267.80","7,268.00","7,141.30","232.71M","-1.70%"
"07/24/2020","7,294.70","7,301.80","7,322.70","7,241.10","183.91M","-1.22%"
"07/23/2020","7,384.90","7,434.70","7,442.20","7,357.20","167.59M","-0.07%"
"07/22/2020","7,390.10","7,474.70","7,498.60","7,368.20","192.70M","-1.39%"
"07/21/2020","7,494.50","7,554.20","7,654.80","7,473.50","300.45M","0.22%"
"07/20/2020","7,478.00","7,442.50","7,495.50","7,365.10","148.68M","0.51%"
"07/17/2020","7,440.40","7,474.10","7,485.00","7,395.80","196.83M","-0.46%"
"07/16/2020","7,474.70","7,438.80","7,498.00","7,425.30","178.62M","-0.17%"
"07/15/2020","7,487.60","7,416.10","7,529.60","7,317.60","262.96M","1.84%"
"07/14/2020","7,352.00","7,344.40","7,352.00","7,268.40","201.39M","-1.01%"
"07/13/2020","7,426.90","7,403.20","7,452.10","7,345.90","179.02M","1.45%"
"07/10/2020","7,321.10","7,198.40","7,324.30","7,183.20","182.31M","1.16%"
"07/09/2020","7,236.90","7,369.90","7,383.50","7,221.10","176.47M","-1.22%"
"07/08/2020","7,326.40","7,361.00","7,382.70","7,307.40","213.49M","-1.62%"
"07/07/2020","7,447.40","7,491.50","7,511.30","7,441.30","191.35M","-1.44%"
"07/06/2020","7,556.20","7,566.50","7,632.30","7,517.30","253.51M","2.06%"
"07/03/2020","7,403.50","7,510.30","7,520.60","7,374.90","181.47M","-1.27%"
"07/02/2020","7,498.60","7,292.70","7,538.20","7,292.70","310.24M","3.75%"
"07/01/2020","7,227.40","7,245.60","7,283.90","7,127.10","194.03M","-0.06%"
"06/30/2020","7,231.40","7,270.60","7,307.50","7,173.00","233.65M","-0.64%"
"06/29/2020","7,278.10","7,160.10","7,318.30","7,146.30","216.62M","1.39%"
"06/26/2020","7,178.40","7,324.50","7,344.90","7,172.10","215.72M","-1.26%"
